Samples	RawReads	CleanReads	CleanRatio	CleanGC(%)	CleanDup(%)	CleanQ20(%)	MappedReads	MapRatio(%)	UniqueMapRatio(%)	ProteinCodingGenes	rRNARatio(%)	Non-conding(%)	MT-expr(%)	ERCC(%)
scRAW-1	6794934	5321702	78.32	41.78	34.97	93.47	4484672	87.90	80.77	10987	0.00	8.81	4.19	0.0538
scRAW-10	3749752	3078662	82.10	46.11	38.15	93.98	1945486	80.69	73.53	8544	0.00	2.68	9.78	0.1070
scRAW-11	4103996	3348470	81.59	41.57	39.48	93.93	2801794	86.01	79.22	8903	0.00	8.85	4.44	0.0511
scRAW-12	918854	723024	78.69	45.69	35.17	94.08	401564	71.15	65.65	5636	0.00	3.08	10.39	0.1415
scRAW-13	863956	547154	63.33	45.41	17.61	90.95	182276	36.06	33.15	6893	0.00	3.63	8.85	0.1868
scRAW-14	1408092	1046524	74.32	45.94	31.61	93.00	480441	55.34	49.22	7054	0.00	1.18	8.08	0.2796
scRAW-15	1365860	1070990	78.41	44.91	30.32	93.12	652383	73.44	66.85	7199	0.00	3.99	9.67	0.1222
scRAW-16	754784	611986	81.08	45.54	32.92	93.68	341116	71.92	65.07	5272	0.00	3.81	13.02	0.2067
scRAW-17	2764132	1801502	65.17	45.84	33.29	92.16	396917	23.44	20.44	7976	0.00	3.16	10.75	0.7247
scRAW-18	7326798	5717994	78.04	45.41	41.10	93.87	3378277	74.05	67.14	9082	0.00	3.16	9.30	0.1559
scRAW-19	4069110	2560186	62.92	43.68	31.21	91.94	1681561	69.17	63.04	8798	0.00	8.18	4.95	0.2264
scRAW-2	9344742	6131302	65.61	45.16	45.54	93.34	2964004	52.83	49.08	8639	0.00	2.55	1.49	0.3155
scRAW-20	1731862	1318916	76.16	45.80	38.25	94.06	718293	72.69	65.01	6170	0.00	1.16	11.24	0.1488
scRAW-21	3528762	2433524	68.96	45.07	32.23	92.79	1373513	66.88	59.88	8541	0.00	1.41	9.07	0.1170
scRAW-22	2531384	593174	23.43	45.06	5.31	88.22	256897	50.23	45.65	7381	0.00	3.43	10.95	0.0389
scRAW-23	3475846	2340522	67.34	42.74	35.04	93.08	1452855	67.07	61.55	8393	0.00	4.06	10.75	0.2337
scRAW-24	2906788	2264306	77.90	40.94	38.97	93.87	1858850	83.80	76.37	7209	0.00	9.31	2.70	0.0978
scRAW-25	12873476	10502194	81.58	45.19	43.82	93.99	6334306	78.45	70.96	10555	0.00	4.03	12.42	0.1534
scRAW-26	13207554	10983222	83.16	45.84	44.87	94.41	6390673	78.57	71.58	10366	0.00	3.23	9.07	0.2345
scRAW-27	14009612	10587654	75.57	45.46	46.36	94.48	5458964	65.71	59.08	10615	0.00	6.84	11.54	0.1930
scRAW-28	4551130	3628724	79.73	44.99	45.92	94.81	1924450	68.32	61.54	7810	0.00	7.62	13.00	0.2250
scRAW-29	10886260	8314422	76.38	46.41	48.30	94.72	3441098	55.59	49.83	9953	0.00	1.44	10.03	1.4961
scRAW-3	9342854	6425832	68.78	45.75	40.60	93.43	3532114	69.17	62.25	8991	0.00	3.40	10.68	0.1587
scRAW-30	13285268	10916704	82.17	45.94	50.48	95.03	5735673	67.34	60.69	9474	0.00	4.15	12.00	0.3143
scRAW-31	10338152	8913168	86.22	41.79	44.94	94.87	7597843	89.03	81.66	11501	0.00	8.33	5.91	0.0927
scRAW-32	5433858	4746154	87.34	46.24	50.28	95.33	2822260	75.91	69.63	7572	0.00	3.09	9.98	0.5111
scRAW-33	8058516	6233136	77.35	45.01	42.15	93.92	3713740	72.57	65.88	9553	0.00	3.77	10.97	0.1465
scRAW-34	9698824	8099656	83.51	40.50	44.46	94.33	6954232	87.25	78.38	10148	0.00	8.90	2.18	0.0653
scRAW-35	6201136	4376218	70.57	45.94	40.36	93.90	2429043	69.36	62.66	9531	0.00	3.77	11.96	0.4803
scRAW-36	3528380	3052118	86.50	43.78	45.47	94.87	2270990	83.11	76.34	7480	0.00	2.52	5.49	0.1390
scRAW-37	5154478	3895688	75.58	44.72	38.29	93.79	2290510	71.87	66.06	9282	0.00	5.13	10.60	0.1730
scRAW-38	4359370	3222764	73.93	43.11	42.22	93.77	1607506	54.33	48.25	8818	0.00	3.02	5.27	0.3835
scRAW-39	5171404	4346976	84.06	42.85	38.05	94.28	3754757	90.34	85.02	10748	0.00	8.53	3.62	0.0881
scRAW-4	1648502	1049396	63.66	46.23	34.83	93.00	395558	46.99	42.92	5803	0.00	1.05	3.24	0.9820
scRAW-40	1458002	1089606	74.73	45.86	35.71	93.43	574536	60.57	55.10	6536	0.00	3.27	11.62	0.1444
scRAW-5	8247380	6770936	82.10	41.51	47.56	94.67	5647504	85.27	79.57	8999	0.04	10.46	1.95	0.1089
scRAW-6	5919248	3550120	59.98	44.29	35.56	92.30	1578063	50.41	46.00	7857	0.00	5.47	19.51	0.3506
scRAW-7	8182632	5826784	71.21	43.42	43.48	93.81	4011249	74.32	68.85	8708	0.00	6.96	1.85	0.1580
scRAW-8	2579300	1615822	62.65	44.51	32.42	92.62	839212	65.79	59.03	6514	0.00	6.77	14.53	0.2111
scRAW-9	4333168	3621200	83.57	41.73	32.00	93.48	3174274	90.11	82.89	10907	0.00	7.73	2.65	0.0391
